Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments,Internal_Marks,Final_Result
1,7,47,61,94,82,Fail
2,4,53,88,91,70,Fail
3,5,62,57,55,44,Pass
4,7,99,95,57,77,Pass
5,3,96,71,44,82,Fail
6,5,79,74,37,81,Pass
7,5,60,91,85,41,Pass
8,7,55,86,73,77,Fail
9,2,84,35,54,77,Fail
10,3,57,57,99,68,Fail
11,7,86,57,80,71,Pass
12,3,92,73,60,61,Fail
13,3,63,59,52,89,Fail
14,5,65,91,87,34,Pass
15,4,64,91,52,73,Pass
16,3,99,30,33,79,Fail
17,6,99,56,40,27,Pass
18,5,99,91,67,72,Pass
19,2,84,32,39,79,Fail
20,4,80,99,27,24,Pass
21,6,68,56,26,87,Pass
22,6,54,38,86,25,Fail
23,2,84,91,36,66,Fail
24,4,40,66,52,74,Fail
25,5,64,80,67,59,Pass
26,1,46,73,95,71,Fail
27,4,48,53,78,35,Fail
28,2,63,88,41,32,Fail
29,6,40,61,49,49,Fail
30,5,83,81,57,38,Pass
31,4,47,91,70,36,Fail
32,1,63,87,73,82,Fail
33,1,50,81,27,38,Fail
34,3,90,41,46,77,Fail
35,3,56,68,46,74,Fail
36,7,47,31,40,81,Fail
37,2,74,32,49,42,Fail
38,4,74,85,47,28,Pass
39,4,72,88,83,31,Pass
40,7,98,31,88,20,Fail
41,6,44,31,80,77,Fail
42,6,81,83,67,20,Pass
43,7,78,30,38,53,Fail
44,6,97,48,23,67,Fail
45,3,80,31,54,20,Fail
46,4,67,82,83,35,Pass
47,7,46,73,68,80,Fail
48,4,48,61,36,83,Fail
49,1,47,99,63,82,Fail
50,3,51,61,49,88,Fail
51,5,73,97,65,41,Pass
52,3,72,84,25,86,Fail
53,7,87,85,56,95,Pass
54,5,94,46,43,45,Fail
55,1,62,67,65,35,Fail
56,7,63,53,72,70,Pass
57,2,76,98,79,76,Fail
58,4,74,99,82,48,Pass
59,1,83,40,51,97,Fail
60,4,79,45,52,88,Fail
61,6,61,88,86,66,Pass
62,2,66,99,37,81,Fail
63,2,74,32,44,88,Fail
64,1,40,49,73,95,Fail
65,2,74,88,77,35,Fail
66,5,76,65,86,67,Pass
67,2,86,48,65,58,Fail
68,4,53,96,43,52,Fail
69,4,42,48,51,42,Fail
70,7,40,49,66,29,Fail
71,4,44,81,42,88,Fail
72,7,65,62,85,53,Pass
73,4,94,69,46,71,Pass
74,5,53,68,21,29,Fail
75,7,78,30,36,38,Fail
76,3,66,40,52,77,Fail
77,6,48,86,28,20,Fail
78,1,54,79,62,88,Fail
79,4,54,52,67,23,Fail
80,2,65,60,58,35,Fail
81,4,81,71,61,43,Pass
82,2,99,36,45,99,Fail
83,6,52,45,69,21,Fail
84,6,90,89,44,51,Pass
85,6,71,31,43,43,Fail
86,2,78,30,32,31,Fail
87,4,88,77,79,69,Pass
88,6,91,41,26,54,Fail
89,5,71,98,76,52,Pass
90,7,43,66,55,52,Fail
91,2,69,61,64,80,Fail
92,2,76,38,39,70,Fail
93,4,62,48,84,62,Fail
94,2,78,77,27,31,Fail
95,2,84,32,35,86,Fail
96,6,54,49,33,84,Fail
97,4,82,53,95,52,Pass
98,6,68,83,34,59,Pass
99,7,75,62,85,93,Pass
100,7,52,53,51,62,Fail
